,spp3-data_set_rescheduling,converge_cnt,total_time,no_op
abz7 - 副本 (2),724.0,2135.0,493.1240587234497,0.0
abz7 - 副本,741.0,1166.0,250.04850435256958,0.0
abz7,719.0,2654.0,608.3285155296326,0.0
dmu16 - 副本 (2),4246.0,5894.0,2728.8596925735474,0.0
dmu16 - 副本,4141.0,7808.0,3600.8308963775635,0.0
dmu16,4190.0,6329.0,2936.0286457538605,0.0
ft06 - 副本 (2),59.0,398.0,18.65696692466736,0.0
ft06 - 副本,59.0,200.0,9.297449588775635,0.0
ft06,59.0,269.0,12.204150438308716,0.0
la21 - 副本 (2),1180.0,800.0,97.73416066169739,0.0
la21 - 副本,1117.0,1967.0,260.9933943748474,0.0
la21,1128.0,1694.0,223.41530346870422,0.0
la26 - 副本 (2),1293.0,4142.0,726.0901052951813,0.0
la26 - 副本,1279.0,1823.0,302.2280852794647,0.0
la26,1277.0,2312.0,389.89720392227173,0.0
orb01 - 副本 (2),1215.0,1313.0,121.40706515312195,0.0
orb01 - 副本,1167.0,1031.0,91.60846900939941,0.0
orb01,1214.0,938.0,83.2039361000061,0.0
ta21 - 副本 (2),1872.0,3185.0,924.7993538379669,0.0
ta21 - 副本,1867.0,2222.0,630.168758392334,0.0
ta21,1858.0,1646.0,457.3826017379761,0.0
ta61 - 副本 (2),3165.0,3404.0,3601.8374915122986,0.0
ta61 - 副本,3144.0,3425.0,3602.105334043503,0.0
ta61,3143.0,3425.0,3600.5799355506897,0.0
